Sentiment,Headline
neutral,"Private equity investor CapMan , the owner of Finnish Lumene cosmetics company , is planning to list Lumene ."
neutral,Temporary layoffs in these units have already started .
negative,Russia's disruption of energy supplies scuppers Germany's plan to exit nuclear power this year.
neutral,The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .
positive,The 19-year-old midfielder celebrated England's 3-0 win with his parents Mark and Denise.
positive,Repeats sees 2008 EBITA above 18 pct of sales .
neutral,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France ."
positive,Southampton are given permission to speak to Luton Town boss Nathan Jones about their managerial vacancy after sacking Ralph Hasenhuttl.
neutral,Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .
positive,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .
positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
neutral,STUK today is a full service house expert in radiation and nuclear safety issues .
neutral,"As a result , a total of 82 employees would be given notice ."
positive,"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million"
neutral,"The program included operational improvements and reductions in personnel , mainly in the Netherlands ."
neutral,"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields ."
negative,The self-styled referendums in east and south Ukraine are dismissed as a sham by Kyiv and the West.
negative,"Princess MÃÂ¤rtha Louise and her fiancÃÂ©, shaman Durek Verrett, have attracted criticism in Norway."
neutral,A spokeswoman for the Italian fashion house declined comment on the settlement .
neutral,The duration of the lay-offs per employee will vary from one to six weeks .
negative,The Met Office warns there could be a danger to life in parts of eastern Scotland on Friday.
neutral,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .
negative,"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday ."
neutral,The contract is worth some EUR 1 million .
neutral,"At the moment , there are approximately 20 Vianor sales offices in Russia ."
neutral,"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ."
negative,Restrictions continue for millions of Chinese and this is putting political pressure on Xi Jinping.
negative,"As the disease surges in China, the global health agency tells Chinese officials it needs to see more data on its spread."
negative,Moroccan hopes of being the first African side to reach the last two ended in a 2-0 defeat by France.
positive,Marine Colonel Nicole Mann tells the BBC she hopes her achievement will inspire future generations.
positive,BBC Analysis editor Ros Atkins looks at why millions of UK homes donÃ¢ÂÂt have adequate home insulation Ã¢ÂÂ and what the government plans to do about it.
negative,"Julie Davis tells the BBC she wants more information from the investigation to find her son, Levi."
positive,"Sarah Willingham, CEO of Nightcap and former star of TV show Dragons' Den, shares her CEO Secret."
neutral,The expansion is to be finalized in the autumn of 2009 .
negative,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors ."
positive,"Banned British sprinter CJ Ujah says a ""convenient"" ÃÂ£10 supplement bought from Amazon caused him to test positive for two prohibited substances at the Tokyo Olympics."
neutral,"Talvivaara Mining Company PLC ( Talvivaara Mining ) ( LSE : TALV ) , a Finland-based nickel mining business , has installed its second production line at its metals recovery plant on June 9 , 2010 ."
neutral,HK Ruokatalo 's target is to know the consumers .
positive,"Government departments are also being told to find cuts to help reduce spending, the BBC is told."
negative,China's figures say no-one died of Covid on Wednesday - but there is scepticism about the data.
negative,Emergency workers are desperately searching for those still trapped hundreds of metres below ground.
positive,The corporation says it will make its complaints process easier and more transparent to navigate.
negative,Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .
neutral,`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . ''
positive,Hat-trick scorer Amy Hardcastle says the record-breaking crowd inspired England to a 72-4 win over Brazil in their World Cup opener at Headingley.
negative,The move would mark a concession to protesters but it has not been confirmed by other authorities.
negative,"More than 98% of them backed strikes after an offer of a 50p per hour pay rise, the GMB union says."
negative,Unions to meet Health Secretary Steve Barclay as NHS managers warn strikes will be damaging to patients.
positive,Actor Tommy Jessop and Panorama investigate the avoidable deaths of people with a learning disability.
neutral,"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says ."
neutral,The goal is to secure the company 's profitability and competitiveness .
negative,"One of the world's biggest football clubs is up for sale, but who are the runners and riders to buy it?"
negative,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ."
positive,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 ."
positive,"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn ."
neutral,The Finnish company Stockmann has signed the contract with the company Technopolis .
negative,"Snapchat releases a ""lens"" that teaches people how to use chest compressions for cardiac arrest."
neutral,"The company 's objective is to offer the best people flow experience by developing and delivering solutions that enable people to move smoothly , safely , comfortably and without waiting in buildings in an increasingly urbanizing environment ."
neutral,"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ."
neutral,`` They 've already allocated money for the inventory .
negative,Metso estimates the need for personnel reductions to amount to 25 people .
neutral,`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .
positive,The ` buy ' recommendation was reiterated .
positive,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .
positive,BBC pundit Jermaine Jenas explains why Senegal have a winning mentality after enjoying two huge triumphs already this year.
negative,An investigation is looking into allegations of fraud at a company that looks after Usain Bolt's investments.
positive,All UK households will get a grant which will reduce energy bills by ÃÂ£400 from October.
negative,The BBC's Analysis editor looks at the recent history behind SundayÃ¢ÂÂs riots in the Brazilian capital.
neutral,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .
positive,Strand Associates is expanding its Madison corporate headquarters with space to add about 100 employees to the engineering firm .
neutral,"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots ."
negative,"England are awarded a second penalty in their World Cup quarter-final against France after Theo Hernandez's elbow on Mason Mount, but Harry Kane blasts over from the spot."
positive,What the opinion polls show about the scale of the challenge now facing the government.
negative,"Allies of the ex-chancellor say he now has enough backers to run, as the former PM heads home from the Caribbean."
negative,A rural family who ran out of heating oil say they were forced to wash their children in the kitchen.
positive,The Duke of Sussex's calls to reconcile with his father and brother leads Tuesday's front pages.
neutral,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring ."
negative,The BBC is looking to gather first-hand accounts of World War Two. Please get in touch.
positive,Engineers are working on building solar farms robust enough to survive in the open ocean.
positive,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .
neutral,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 ."
positive,Bishop Auckland MP Dehenna Davison wants to devote more time to her family and life outside politics.
positive,"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile ."
negative,Some fans struggled to load their QR code tickets before England's opening match against Iran.
positive,The tunnels in Edinburgh's Old Town have a grisly history - but Jamie Corstorphine finds them peaceful.
negative,Buffalo Bills safety Damar Hamlin is discharged from a Cincinnati hospital one week after suffering a cardiac arrest during an NFL game.
negative,"When the web user clicks on the link contained in the mail , he finds himself on a bogus site that imitates that of his bank , and which retrieves his personal banking data ."
positive,That topped consensus forecasts for earnings of 0.21 euros a share .
negative,"Shoppers could pay an extra ÃÂ£643 a year for food and other groceries, research firm Kantar says."
negative,"Stephen Bear denies voyeurism and two counts of disclosing private, sexual photographs and films."
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units ."
neutral,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .
positive,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year ."
neutral,"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators ."
positive,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat ."
negative,"About 115,000 postal workers are taking part in the dispute with Royal Mail."
positive,"It rose by 15.7 % and by 24.8 % in Finland and abroad , respectively , to EUR 7 million and EUR 4.2 million , due to a 40 % growth in Russia ."
neutral,Okmetic has used the furnaces for the contract manufacturing of solar crystals .
positive,"Republicans secure 218 seats to control the House, though a few races are still to be called."
positive,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year ."
neutral,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities ."
neutral,The report will be emailed within 2 business days of an order .
negative,New research by BBC Panorama highlights the strained relationship between the road users.
neutral,"Stora Enso Oyj said Friday it will sell its North American unit to NewPage , in a deal valued at euro1 .82 billion US$ 2.52 million ."
negative,Iran's leaders are ordering the police and Revolutionary Guard to crack down on nationwide protests.
positive,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .
positive,"Camilla, the Queen Consort, is pictured with toy bears as hundreds are donated to a children's charity."
positive,"It may taste good, but the the name Welsh sparkling wine doesn't flow from the tongue as it could."
positive,Volunteers are spending their day with care leavers to ensure they are not alone this Christmas.
negative,"At least seven are killed in a new Russian missile barrage, days after an even bigger bombardment."
neutral,Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V .
positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 ."
neutral,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .
positive,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .
negative,Jan Mustafa's daughter says she's still dealing with grief after her body was found in a freezer.
neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .
negative,Thousands of people face disruption to their festive travel plans due to railway strikes.
positive,One family spends six months turning their home into a must-see Halloween attraction.
positive,The plan will put 30% of the planet under protection by the end of the decade.
neutral,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems ."
negative,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday ."
neutral,The negotiations will concern the plant 's department producing winded roving that employs 10 people .
positive,The final polls are out - who will win power and what will they do with it?
neutral,"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program ."
negative,"The group says its supporters have been arrested nearly 2,000 times since April."
positive,"Manchester City will host holders Liverpool in the fourth round of the Carabao Cup, plus full draw."
positive,"Argentina are aiming to lift the World Cup for the first time since 1986, while France are hoping to win successive tournaments."
positive,Rangers miss out on a Champions League group stage debut after Benfica's extra-time double in Portugal.
negative,"The first episodes of Harry and Meghan's new documentary have dropped, here's what to look out for."
neutral,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .
negative,"Made in the 1950s, it was the BBC's first documentary about gay men but the work was later lost."
negative,Marcus Stoinis hits a magnificent unbeaten half-century as Australia bounce back from their opening defeat at the T20 World Cup by beating Sri Lanka.
negative,A bigger rebate under the Warm Home Discount begins but concerns remain some are missing out.
negative,Abrham Meareg and others are suing Meta for $2bn over claims its algorithm spread hate in Ethiopia.
positive,"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained ."
positive,"After a week dominated by stories about the abuse of referees in grassroots football, BBC Sport speaks to officials determined to carry on doing what they love."
negative,The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .
neutral,Nordea will coordinate the syndicated loan .
positive,Some Tory MPs are clear they will not back a move to end the link between benefits and inflation.
neutral,L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .
neutral,"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices ."
positive,A British Nigerian artist is using pure gold to paint portraits depicting the stories of African diaspora women.
positive,The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .
negative,The 88-year-old grandmother with dementia died hours after a fellow resident allegedly attacked her.
negative,"After 12 years of questions, criticisms and conjecture, the Fifa World Cup in Qatar will finally get under way on Sunday."
negative,Dahir's brother died of hunger. Now two of his sisters are fighting sickness and malnutrition in Somalia.
negative,President Lula has questioned police actions in failing to prevent the storming of government buildings.
neutral,Part of the reductions will be made through retirement arrangements .
positive,"The football legend, regarded by many as the world's greatest player, has died at the age of 82."
positive,The founders of Seatfrog share their business advice for the CEO Secrets series.
negative,The controversial influencer is detained in an investigation into rape and human trafficking.
negative,Russia's latest setbacks came as President Putin was due to sign into force annexation decrees.
neutral,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .
positive,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .
positive,Hundreds of people queue outside Windsor Castle to see the final resting place of Queen Elizabeth II.
neutral,No financial details were provided .
positive,"Pele made football a spectacle of natural grace and beauty and became a global icon, says chief football writer Phil McNulty."
negative,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers ."
positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ."
negative,"After delivering what manager Jurgen Klopp described as their worst game of his Liverpool tenure, where do the struggling Reds go from here?"
negative,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
negative,"Nadia Nadim reveals her mother died suddenly, after the Denmark forward had to leave an ITV broadcast early."
neutral,"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen ."
positive,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ."
positive,"Help has been extended, but it's now less generous, meaning a typical household will pay more."
positive,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region ."
neutral,"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October ."
negative,Young men in Lebanon are joining the Islamic State group in a desperate bid to escape poverty.
positive,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations ."
neutral,"The Filter Tips cover the volume range from 0.1-1200 -Ã°l including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ã°l volume capacities ."
negative,The 3.5-litre V5 Bentley failed its MOT in 1968 and has languished in a farmer's shed ever since.
neutral,No more waste-burning facilities should be built .
neutral,"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks ."
negative,"It is the first war where commercial space capabilities have played a significant role, a US general says."
negative,The hurricane has since been downgraded to a tropical cyclone and is expected to dissipate overnight.
negative,"The faces of some of the men, women and children killed in protests sweeping across Iran."
positive,"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 ."
positive,"Warm banks are popping up across the country, mostly run by volunteers. We spoke to three people involved."
neutral,Pentik+Ãinen emphasises that the most of the internet contents media houses provide can not be free forever .
positive,Matt Hancock's Covid grilling on I'm a Celebrity and civil servants avoiding the justice secretary are among Saturday's front page stories.
negative,A review finds hundreds of Met Police officers are getting away with breaking the law and misconduct.
neutral,"According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building ."
negative,"Speaking to the BBC, a UK spy chief says Russia is ""desperate"" but still capable of causing damage."
neutral,"OMEO ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending April 30 , 2007 ."
neutral,"In addition a reduction of nine persons will be made through pension or other arrangements , the company added ."
negative,Raneem Oudeh made repeated calls to police in the months leading up to her and her mother's deaths.
neutral,This would be a huge process .
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
negative,Ukrainian officials say cities across the country are targeted in several waves of strikes.
positive,Papua New Guinea keep their hopes of reaching the Rugby League World Cup quarter-finals alive with a six-try win over Cook Islands.
negative,The 70-year-old is already serving 23 years in jail after he was convicted in New York two years ago.
neutral,The technology park will be built near St. Petersburg-based Pulkovo airport .
neutral,Exel is headquartered in Mantyharju in Finland .
negative,"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ."
positive,"The pop star, whose parents are Albanian, is honoured for promoting the country through her music."
negative,"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland ."
neutral,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes ."
negative,"The former chancellor says he told the then PM to ""slow down"" after September's ill-fated mini-budget."
neutral,The parties have therefore agreed to leave Avena out of the deal .
positive,This will bring cost savings of about EUR 3mn a year .
neutral,Curators have divided their material into eight themes .
positive,BBC Sport analyses the remaining teams in the T20 World Cup and makes predictions as the tournament reaches the Super 12 phase.
negative,"Obituary of Benedict XVI, a conservative figure who became the first pope to stand down in 600 years."
neutral,It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola .
positive,"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable ."
negative,Emergency services were called to an outbuilding in Denny on Sunday afternoon.
positive,"Denise Coates is one of the richest women in Britain, having founded the firm in Stoke-on-Trent."
neutral,"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today ."
neutral,"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax ."
positive,"Captain Courtney Lawes is ruled out of England's match with Argentina at Twickenham on Sunday, but Owen Farrell returns."
negative,"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 ."
negative,The impacts of the upcoming strike by ambulance staff dominate some of Wednesday's front pages.
positive,Atria Group is a leading Scandinavian meat products group .
neutral,"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th ."
negative,Violent and sexual crimes were among 60 cases wrongfully dropped by the Crown Prosecution Service.
negative,Ora Washington was a dominant champion across two sports in an age where prejudice and ignorance denied her proper recognition.
negative,Two councils fail to block asylum seekers being relocated to large hotels in their areas.
negative,George Pell was reviled by many for his alleged role in child sexual abuse scandals.
positive,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people ."
positive,"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier ."
neutral,"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law ."
negative,"Mum Julie Andrews ignored gas, electric and council tax bills and got loans to buy school uniform."
neutral,The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .
positive,"The Bafta-winning actor was best known for political satire, including Bremner, Bird and Fortune."
positive,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year ."
negative,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ."
neutral,"zip , '' experts warned Tuesday ."
negative,"In a rare show of discontent, personnel say they wait days or sometimes weeks for repairs."
positive,"The London Marathon is almost upon us. Here is everything you need to know as 42,000 runners prepare to tackle the iconic course."
negative,The leaders of the US and China strike a conciliatory tone in their first in-person talks for years.
positive,Kevin Magnussen causes a sensation at the Sao Paulo Grand Prix by qualifying his Haas car on pole position for Saturday's sprint race.
neutral,"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand ."
neutral,The personnel s expertise and high level of technology play a major role in Exel Composites operations .
neutral,"Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added ."
neutral,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % ."
positive,"The negotiations were carried out in a constructive manner , and all parties tried to find a solution to the situation ."
neutral,RSA 's shares closed at 156.9 p at the time of going to press .
negative,Wing Claudia MacDonald returns from injury and prop Hannah Botterman starts as England make two changes for their World Cup semi-final against Canada.
neutral,Panostaja is a financially secure Finnish multi-field corporation that creates healthy companies and company entities .
neutral,"According to Finnish financial services group Sampo 's CEO , Bj+Â¦rn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history ."
negative,Hans Niemann is suing grandmaster Magnus Carlsen and others after they accused him of cheating.
positive,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data ."
negative,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .
negative,"Lucy Letby told the mother of a distressed baby ""trust me I'm a nurse"", her murder trial hears."
positive,Jeremy Hunt has delivered the Autumn Statement in the House of Commons. Here's what you need to know.
positive,Elon Musk's first week-and-a-half at Twitter has been a rollercoaster of big changes.
positive,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period ."
positive,`` This is a win for all OEMs targeting to develop WiMAX products .
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 ."
positive,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn ."
negative,Why is bird flu so bad this year and why are scientists so concerned?
positive,The GMB and the RCN unions say they will not call strikes while pay negotiations are being held.
negative,The notorious wild man of rockÃ¢ÂÂnÃ¢ÂÂroll - who married his 13-year-old cousin and shot his bass player - has died at 87.
neutral,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .
neutral,"`` Tom Doring has a long and successful career in the drives business , and he knows the American market ."
neutral,"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall ."
neutral,"According shipping company Viking Line , the EU decision will have a significant financial impact ."
negative,"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 ."
negative,There's been speculation public meetings with President Putin have been staged.
positive,"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year ."
positive,"The system can no longer operate effectively, the Care Quality Commission warns, as delays mount."
positive,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .
negative,But Chinese tourists will not have unfettered access to all countries - as some impose restrictions.
positive,Irish PM Leo Varadkar and Labour's Sir Keir Starmer are set to meet Stormont's largest parties.
neutral,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors ."
negative,"The pulp production in Finnish Kemij+Ãrvi will also be liquidated and about 1,100 employees loose their jobs ."
negative,"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ."
negative,The acquisition of +_landsbanken Sverige in 2009 burdened the performance with EUR 3.0 mn .
neutral,"128,538 shares can still be subscribed for with Series E share options , max ."
negative,"The Trust and Safety Council advised on how Twitter tackled hate speech, child abuse and self-harm."
positive,Katie Razzall's seven takeaways from the Duke and Duchess of Sussex's Netflix documentary
negative,Underdog Derek Chisora says he does not care what the critics think as he looks to upset Tyson Fury and win WBC heavyweight title.
positive,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia ."
neutral,The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .
neutral,Odell has not contacted the State of Finland in this issue .
negative,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .
positive,"Emma Raducanu says she hopes she will be fit for this month's Australian Open but is trying ""not to expect too much""."
neutral,There did not seem to be enough hours in a day for Pekkarinen .
positive,"Labour's deputy leader says the party wants people to ""create wealth"", echoing Peter Mandelson."
positive,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 ."
positive,England and France are ready for their historic first knockout match in a men's tournament as they meet in the quarter-finals on the 2022 World Cup in Qatar.
negative,"The awards ceremony is back this year, but the body behind it remains controversial in Hollywood."
positive,The company has committed to further expanding the Apollo portfolio .
neutral,"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) ."
negative,"Nigeria is used to seasonal flooding, but this year has been significantly worse than usual."
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 ."
neutral,The contract value amounts to EUR 2.4 million .
positive,"The 44 coins found in Israel date to the Muslim conquest of the area in 635, archaeologists say."
positive,"The energy bill support package will continue after April, but will be less generous."
neutral,Financial details were n't disclosed .
negative,Eight steps to understand why the financial turmoil matters to mortgage payers and everyone else.
neutral,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business ."
negative,There were fears Britishvolt could run out of money after the government refused to advance funding.
positive,"In Qatar for the World Cup, Sheldon Edwards - also known as HD Cutz - describes life as a footballers' barber."
negative,Residents in a housing estate in County Antrim are accessing low-cost hot meals run by a local group.
neutral,"In Finland , Alma Media will focus on quality and developing chain operations ."
positive,"Protect Duty, or Martyn's Law, was introduced in the wake of the Manchester Arena bombing."
negative,A two-year government-set cap means price rises taking effect on Saturday are lower than expected.
negative,The sisters of a six-year-old say the authorities will not tell them why her killer is back in jail.
positive,Looking back at Scottish national treasure Robbie Coltrane whose career took him to the heights of Hollywood.
neutral,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey ."
positive,"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur ."
negative,"A third-generation grower says he is scared he could ""just lose the whole business""."
positive,Manchester United midfielder Bruno Fernandes scores twice as Portugal beat Uruguay to reach the World Cup last 16.
positive,The young authors connecting with their followers via weekly digital updates.
negative,"The country singer on a brush with death, standing up to sexism, and her ""celebratory"" new album."
negative,Watch highlights as Qatar become the first host nation to lose their opening game as Ecuador captain Enner Valencia scores twice.
positive,Meet the social media influencers sharing their love of the Welsh language to new audiences.
negative,"With the World Cup set to begin in Qatar, BBC sports editor Dan Roan looks at why the tournament is so controversial."
neutral,Neste Oil will offer outplacement services to the 111 employees to be reduced .
neutral,"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class ."
positive,England's Lionesses are named BBC Sports Personality Team of the Year 2022 while Sarina Wiegman wins Coach of the Year.
